Variety_ID,Accession_ID,accession_holding,parent1,parent1_synonym,parent1_holding,parent2,parent2_holding,Code_ID,Panel_246,genetic_group,type,holding,Holding name
EC242C,EC242C_H,inrae,EC242C_ciam,EC242C_ciam,CIAM,UH_007,UH,3118,yes,Iodent,CrossValidation,,
EC326A,EC326A_H,inrae,EC326A_ciam,EC326A_ciam,CIAM,UH_007,UH,1011,no,,nG_ext,,
EC334,EC334_H,inrae,EC334_ciam,EC334_ciam,CIAM,UH_007,UH,3119,yes,Other,CrossValidation,,
EP10,EP10_H,inrae,EP10_csic,EP10_csic,CSIC,UH_007,UH,3092,yes,Other,CrossValidation,,
EP2008-18,EP2008-18_H,inrae,EP2008-18_csic,EP2008.18_csic,CSIC,UH_007,UH,3035,yes,Lancaster,CrossValidation,,
EP2008-22,EP2008-22_H,inrae,EP2008-22_csic,EP2008.22_csic,CSIC,UH_007,UH,3121,yes,Lancaster,CrossValidation,,
EP28,EP28_H,inrae,EP28_csic,EP28_csic,CSIC,UH_007,UH,1016,no,,nG_ext,,
EP29,EP29_H,inrae,EP29_csic,EP29_csic,CSIC,UH_007,UH,3098,yes,Other,CrossValidation,,
EP51,EP51_H,inrae,EP51_csic,EP51_csic,CSIC,UH_007,UH,3076,yes,Other,CrossValidation,,
EP52,EP52_H,inrae,EP52_csic,EP52_csic,CSIC,UH_007,UH,3014,yes,Other,CrossValidation,,
EP55,EP55_H,inrae,EP55_csic,EP55_csic,CSIC,UH_007,UH,3078,yes,Other,CrossValidation,,
EP67,EP67_H,inrae,EP67_csic,EP67_csic,CSIC,UH_007,UH,3122,yes,Other,CrossValidation,,
EP72,EP72_H,inrae,EP72_csic,EP72_csic,CSIC,UH_007,UH,3123,yes,Other,CrossValidation,,
EP77,EP77_H,inrae,EP77_csic,EP77_csic,CSIC,UH_007,UH,3124,yes,Other,CrossValidation,,
EZ11A,EZ11A_H,inrae,EZ11A_csic,EZ11A_csic,CSIC,UH_007,UH,3020,yes,Other,CrossValidation,,
EZ18,EZ18_H,inrae,EZ18_csic,EZ18_csic,CSIC,UH_007,UH,3125,yes,Other,CrossValidation,,
EZ31,EZ31_H,inrae,EZ31_csic,EZ31_csic,CSIC,UH_007,UH,3126,yes,Stiff_Stalk,CrossValidation,,
EZ34,EZ34_H,inrae,EZ34_csic,EZ34_csic,CSIC,UH_007,UH,3048,no,Lancaster,CrossValidation,,
EZ35,EZ35_H,inrae,EZ35_csic,EZ35_csic,CSIC,UH_007,UH,3127,yes,Other,CrossValidation,,
EZ36,EZ36_H,inrae,EZ36_csic,EZ36_csic,CSIC,UH_007,UH,3128,yes,Other,CrossValidation,,
EZ37,EZ37_H,inrae,EZ37_csic,EZ37_csic,CSIC,UH_007,UH,3021,yes,Stiff_Stalk,CrossValidation,,
EZ38,EZ38_H,inrae,EZ38_csic,EZ38_csic,CSIC,UH_007,UH,3129,yes,Other,CrossValidation,,
EZ40,EZ40_H,inrae,EZ40_csic,EZ40_csic,CSIC,UH_007,UH,3044,yes,Stiff_Stalk,CrossValidation,,
EZ42,EZ42_H,inrae,EZ42_csic,EZ42_csic,CSIC,UH_007,UH,3130,yes,Stiff_Stalk,CrossValidation,,
EZ46,EZ46_H,inrae,EZ46_csic,EZ46_csic,CSIC,UH_007,UH,3131,no,,nG_ext,,
EZ47,EZ47_H,inrae,EZ47_csic,EZ47_csic,CSIC,UH_007,UH,3006,yes,Other,CrossValidation,,
EZ48,EZ48_H,inrae,EZ48_csic,EZ48_csic,CSIC,UH_007,UH,3132,yes,Stiff_Stalk,CrossValidation,,
EZ5,EZ5_H,inrae,EZ5_csic,EZ5_csic,CSIC,UH_007,UH,3262,no,,nG_ext,,
EZ53,EZ53_H,inrae,EZ53_csic,EZ53_csic,CSIC,UH_007,UH,3133,no,,nG_ext,,
F04401,F04401_H,inrae,F04401_inra,F04401_inra,INRA,UH_007,UH,3134,yes,Iodent,CrossValidation,,
F04402,F04402_H,inrae,F04402_inra,F04402_inra,INRA,UH_007,UH,3135,yes,Iodent,CrossValidation,,
F04701,F04701_H,inrae,F04701_inra,F04701_inra,INRA,UH_007,UH,3136,yes,Lancaster,CrossValidation,,
F04702,F04702_H,inrae,F04702_inra,F04702_inra,INRA,UH_007,UH,3137,yes,Lancaster,CrossValidation,,
F05101,F05101_H,inrae,F05101_inra,F05101_inra,INRA,UH_007,UH,3138,yes,Stiff_Stalk,CrossValidation,,
F05404,F05404_H,inrae,F05404_inra,F05404_inra,INRA,UH_007,UH,3139,yes,Iodent,CrossValidation,,
F113,F113_H,inrae,FV113_inra,FV113_inra,INRA,UH_007,UH,1107,no,,nG_ext,,
F1808,F1808_H,inrae,F1808_inra,F1808_inra,INRA,UH_007,UH,3022,yes,Stiff_Stalk,CrossValidation,,
F1819,F1819_H,inrae,FC1819_inra,FC1819_inra,INRA,UH_007,UH,1103,no,,nG_ext,,
F1890,F1890_H,inrae,FC1890_inra,FC1890_inra,INRA,UH_007,UH,3016,yes,Iodent,CrossValidation,,
F218,F218_H,inrae,FV218_inra,FV218_inra,INRA,UH_007,UH,3152,yes,Other,CrossValidation,,
F252,F252_H,inrae,FV252_inra,FV252_inra,INRA,UH_007,UH,3153,yes,Other,CrossValidation,,
F288,F288_H,inrae,FV288_inra,FV288_inra,INRA,UH_007,UH,1114,no,,nG_ext,,
F317,F317_H,inrae,FV317_inra,FV317_inra,INRA,UH_007,UH,1116,no,,nG_ext,,
F335,F335_H,inrae,FV335_inra,FV335_inra,INRA,UH_007,UH,1118,no,,nG_ext,,
F353,F353_H,inrae,FV353_inra,FV353_inra,INRA,UH_007,UH,3086,yes,Iodent,CrossValidation,,
F354,F354_H,inrae,FV354_inra,FV354_inra,INRA,UH_007,UH,3154,yes,Other,CrossValidation,,
F356,F356_H,inrae,FV356_inra,FV356_inra,INRA,UH_007,UH,1121,no,,nG_ext,,
F496,F496_H,inrae,F496_inra,F496_inra,INRA,UH_007,UH,1077,no,,nG_ext,,
F546,F546_H,inrae,F546_inra,F546_inra,INRA,UH_007,UH,3133,no,NA,CrossValidation,,
F584,F584_H,inrae,F584_inra,F584_inra,INRA,UH_007,UH,3263,no,,nG_ext,,
F604,F604_H,inrae,F604_inra,F604_inra,INRA,UH_007,UH,1080,no,,nG_ext,,
F608,F608_H,inrae,F608_inra,F608_inra,INRA,UH_007,UH,3140,yes,Other,CrossValidation,,
F618,F618_H,inrae,F618_inra,F618_inra,INRA,UH_007,UH,3141,yes,Other,CrossValidation,,
F670,F670_H,inrae,F670_inra,F670_inra,INRA,UH_007,UH,1083,no,,nG_ext,,
F7001,F7001_H,inrae,F7001_inra,F7001_inra,INRA,UH_007,UH,3040,yes,Other,CrossValidation,,
F7019,F7019_H,inrae,F7019_inra,F7019_inra,INRA,UH_007,UH,3142,yes,Other,CrossValidation,,
F7025,F7025_H,inrae,F7025_inra,F7025_inra,INRA,UH_007,UH,3049,yes,Stiff_Stalk,CrossValidation,,
F7028,F7028_H,inrae,F7028_inra,F7028_inra,INRA,UH_007,UH,3015,yes,Other,CrossValidation,,
F7038,F7038_H,inrae,F7038_inra,F7038_inra,INRA,UH_007,UH,1089,no,,nG_ext,,
F7057,F7057_H,inrae,F7057_inra,F7057_inra,INRA,UH_007,UH,3144,yes,Other,CrossValidation,,
F7058,F7058_H,inrae,F7058_inra,F7058_inra,INRA,UH_007,UH,3143,yes,Other,CrossValidation,,
F7059,F7059_H,inrae,F7059_inra,F7059_inra,INRA,UH_007,UH,1091,no,,nG_ext,,
F7081,F7081_H,inrae,F7081_inra,F7081_inra,INRA,UH_007,UH,3036,yes,Other,CrossValidation,,
F7082,F7082_H,inrae,F7082_inra,F7082_inra,INRA,UH_007,UH,3145,yes,Other,CrossValidation,,
F712,F712_H,inrae,F712_inra,F712_inra,INRA,UH_007,UH,3057,yes,Other,CrossValidation,,
F748,F748_H,inrae,F748_inra,F748_uh,INRA,UH_007,UH,3054,yes,Lancaster,CrossValidation,,
F752,F752_H,inrae,F752_inra,F752_inra,INRA,UH_007,UH,3146,yes,Other,CrossValidation,,
F816,F816_H,inrae,F816_inra,F816_inra,INRA,UH_007,UH,3264,no,Lancaster,CrossValidation,,
F838,F838_H,inrae,F838_inra,F838_inra,INRA,UH_007,UH,3028,yes,Other,CrossValidation,,
F874,F874_H,inrae,F874_inra,F874_inra,INRA,UH_007,UH,3147,yes,Other,CrossValidation,,
F888,F888_H,inrae,F888_inra,F888_inra,INRA,UH_007,UH,3148,yes,Other,CrossValidation,,
F894,F894_H,inrae,F894_inra,F894_inra,INRA,UH_007,UH,3010,yes,Other,CrossValidation,,
F908,F908_H,inrae,F908_inra,F908_inra,INRA,UH_007,UH,3149,yes,Other,CrossValidation,,
F912,F912_H,inrae,F912_inra,F912_inra,INRA,UH_007,UH,3011,yes,Iodent,CrossValidation,,
F918,F918_H,inrae,F918_inra,F918_inra,INRA,UH_007,UH,3065,yes,Other,CrossValidation,,
F922,F922_H,inrae,F922_inra,F922_inra,INRA,UH_007,UH,3150,yes,Other,CrossValidation,,
F924,F924_H,inrae,F924_inra,F924_inra,INRA,UH_007,UH,3043,yes,Stiff_Stalk,CrossValidation,,
F98902,F98902_H,inrae,F98902_inra,F98902_inra,INRA,UH_007,UH,3084,yes,Iodent,CrossValidation,,
FP1,FP1_H,inrae,FP1_inra,FP1_inra,INRA,UH_007,UH,3151,yes,Other,CrossValidation,,
FR19,FR19_H,inrae,FR19_usda,FR19_usda,USDA,UH_007,UH,3018,yes,Other,CrossValidation,,
FR697,FR697_H,inrae,FR697_ifsi,FR697_ifsi,IFSI,UH_007,UH,3222,yes,Lancaster,CrossValidation,,
H99,H99_H,inrae,H99_inra,H99_inra,INRA,UH_007,UH,3155,yes,Lancaster,CrossValidation,,
HMV5301,HMV5301_H,inrae,HMV5301_Martonvasar,HMV5301_Martonvasar,MTA-ATK,UH_007,UH,3156,yes,Iodent,CrossValidation,,
HMV5325,HMV5325_H,inrae,HMV5325_Martonvasar,HMV5325_Martonvasar,MTA-ATK,UH_007,UH,3058,yes,Stiff_Stalk,CrossValidation,,
HMV5343,HMV5343_H,inrae,HMV5343_Martonvasar,HMV5343_Martonvasar,MTA-ATK,UH_007,UH,3157,yes,Stiff_Stalk,CrossValidation,,
HMV5347,HMV5347_H,inrae,HMV5347_Martonvasar,HMV5347_Martonvasar,MTA-ATK,UH_007,UH,3158,yes,Stiff_Stalk,CrossValidation,,
HMV5405,HMV5405_H,inrae,HMV5405_Martonvasar,HMV5405_Martonvasar,MTA-ATK,UH_007,UH,3042,yes,Iodent,CrossValidation,,
HMV5409,HMV5409_H,inrae,HMV5409_Martonvasar,HMV5409_Martonvasar,MTA-ATK,UH_007,UH,3159,yes,Other,CrossValidation,,
HMV5422,HMV5422_H,inrae,HMV5422_Martonvasar,HMV5422_Martonvasar,MTA-ATK,UH_007,UH,3037,yes,Stiff_Stalk,CrossValidation,,
HMV5502,HMV5502_H,inrae,HMV5502_Martonvasar,HMV5502_Martonvasar,MTA-ATK,UH_007,UH,3160,yes,Iodent,CrossValidation,,
I198,I198_H,inrae,I198_inra,I198_inra,INRA,UH_007,UH,3161,yes,Other,CrossValidation,,
I205,I205_H,inrae,I205_inra,I205_inra,INRA,UH_007,UH,3162,no,Other,CrossValidation,,
I211,I211_H,inrae,I211_inra,I211_inra,INRA,UH_007,UH,3163,no,Other,CrossValidation,,
I233,I233_H,inrae,I233_inra,I233_inra,INRA,UH_007,UH,3164,yes,Other,CrossValidation,,
I238,I238_H,inrae,I238_inra,I238_inra,INRA,UH_007,UH,3165,yes,Other,CrossValidation,,
I242,I242_H,inrae,I242_inra,I242_inra,INRA,UH_007,UH,3166,yes,Other,CrossValidation,,
I261,I261_H,inrae,I261_inra,I261_inra,INRA,UH_007,UH,3167,yes,Other,CrossValidation,,
I267,I267_H,inrae,I267_inra,I267_inra,INRA,UH_007,UH,3168,yes,Other,CrossValidation,,
IDT,IDT_H,inrae,IDT_inra,IDT_inra,INRA,UH_007,UH,3169,yes,Other,CrossValidation,,
LAN496,LAN496_H,inrae,LAN496_inra,LAN496_inra,INRA,UH_007,UH,3034,yes,Other,CrossValidation,,
LH123Ht,LH123Ht_H,inrae,LH123Ht_usda,LH123Ht_usda,USDA,UH_007,UH,3170,yes,Lancaster,CrossValidation,,
LH145,LH145_H,inrae,LH145_usda,LH145_usda,USDA,UH_007,UH,3060,yes,Stiff_Stalk,CrossValidation,,
LH146Ht,LH146HT_H,inrae,LH146Ht_usda,LH146Ht_usda,USDA,UH_007,UH,1269,no,,nG_ext,,
LH38,LH38_H,inrae,LH38_usda,LH38_usda,USDA,UH_007,UH,3024,yes,Lancaster,CrossValidation,,
LH39,LH39_H,inrae,LH39_usda,LH39_usda,USDA,UH_007,UH,3171,yes,Lancaster,CrossValidation,,
LH59,LH59_H,inrae,LH59_usda,LH59_usda,USDA,UH_007,UH,3172,yes,Lancaster,CrossValidation,,
