Variety_ID,Accession_ID,accession_holding,parent1,parent1_synonym,parent1_holding,parent2,parent2_holding,Code_ID,Panel_246,genetic_group,type,holding,Holding name
Mo15W,Mo15W_H,inrae,Mo15W_inra,Mo15W_inra,INRA,UH_007,UH,3211,yes,Other,CrossValidation,,
Mo17,Mo17_H,inrae,Mo17_inra,Mo17_inra,INRA,UH_007,UH,3046,yes,Lancaster,CrossValidation,,
MS153,MS153_H,inrae,MS153_inra,MS153_inra,INRA,UH_007,UH,3007,yes,Other,CrossValidation,,
MS71,MS71_H,inrae,MS71_uh,MS71_uh,UH,UH_007,UH,3096,yes,Other,CrossValidation,,
N16,N16_H,inrae,N16_inra,N16_inra,INRA,UH_007,UH,3212,yes,Other,CrossValidation,,
N192,N192_H,inrae,N192_usa,N192_usa,USA,UH_007,UH,3213,yes,Stiff_Stalk,CrossValidation,,
N22,N22_H,inrae,N22_inra,N22_inra,INRA,UH_007,UH,3214,yes,Other,CrossValidation,,
N25,N25_H,inrae,N25_inra,N25_inra,INRA,UH_007,UH,3052,yes,Other,CrossValidation,,
N6,N6_H,inrae,N6_inra,N6_inra,INRA,UH_007,UH,3064,yes,Other,CrossValidation,,
NC290,NC290_H,inrae,NC290_uh,NC290_cim,UH,UH_007,UH,3031,yes,Lancaster,CrossValidation,,
NC358,NC358_H,inrae,NC358_uh,NC358_cim,UH,UH_007,UH,3099,yes,Other,CrossValidation,,
NDB8,NDB8_H,inrae,NDB8_inra,NDB8_inra,INRA,UH_007,UH,3094,yes,Other,CrossValidation,,
NK764,NK764_H,inrae,NK764_usda,NK764_usda,USDA,UH_007,UH,3215,yes,Stiff_Stalk,CrossValidation,,
NK807,NK807_H,inrae,NK807_usda,NK807_usda,USDA,UH_007,UH,3216,yes,Other,CrossValidation,,
NKH8431,NKH8431_H,inrae,NKH8431_usda,NKH8431_usda,USDA,UH_007,UH,1280,no,,nG_ext,,
NQ508,NQ508_H,inrae,NQ508_usda,NQ508_usda,USDA,UH_007,UH,3217,yes,Iodent,CrossValidation,,
NS501,NS501_H,inrae,NS501_usda,NS501_usda,USDA,UH_007,UH,3265,no,Iodent,CrossValidation,,
NS701,NS701_H,inrae,NS701_usda,NS701_usda,USDA,UH_007,UH,3218,yes,Stiff_Stalk,CrossValidation,,
Oh02,Oh02_H,inrae,Oh02_inra,Oh02_inra,INRA,UH_007,UH,3025,yes,Other,CrossValidation,,
Oh33,Oh33_H,inrae,Oh33_inra,Oh33_inra,INRA,UH_007,UH,3005,yes,Other,CrossValidation,,
Oh40B,Oh40B_H,inrae,Oh40B_inra,Oh40B_inra,INRA,UH_007,UH,3219,yes,Lancaster,CrossValidation,,
Oh43,Oh43_H,inrae,Oh43_inra,Oh43_inra,INRA,UH_007,UH,3003,yes,Lancaster,CrossValidation,,
Os426,Os426_H,inrae,Os426_inra,Os426_inra,INRA,UH_007,UH,3038,yes,Other,CrossValidation,,
P465P,P465P_H,inrae,P465P_inra,ARGP465_inra,INRA,UH_007,UH,3220,yes,Other,CrossValidation,,
Pa35,Pa35_H,inrae,Pa35_inra,Pa35_inra,INRA,UH_007,UH,3266,no,Other,CrossValidation,,
Pa36,Pa36_H,inrae,Pa36_inra,Pa36_inra,INRA,UH_007,UH,3208,yes,Other,CrossValidation,,
Pa405,Pa405_H,inrae,Pa405_uh,Pa405_uh,UH,UH_007,UH,3023,yes,Other,CrossValidation,,
Pa91,Pa91_H,inrae,Pa91_inra,Pa91_inra,INRA,UH_007,UH,3089,yes,Other,CrossValidation,,
PB116,PB116_H,inrae,PB116_inra,PB116_inra,INRA,UH_007,UH,3062,yes,Other,CrossValidation,,
PB98TR,PB98TR_H,inrae,PB98TR_inra,PB98TR_inra,INRA,UH_007,UH,3061,yes,Other,CrossValidation,,
PH207,PH207_H,inrae,PH207_usda,PH207_usda,USDA,UH_007,UH,3002,yes,Iodent,CrossValidation,,
PHB09,PHB09_H,inrae,PHB09_usda,PHB09_usda,USDA,UH_007,UH,3083,yes,Stiff_Stalk,CrossValidation,,
PHG35,PHG35_H,inrae,PHG35_usda,PHG35_usda,USDA,UH_007,UH,3223,yes,Iodent,CrossValidation,,
PHG39,PHG39_H,inrae,PHG39_usda,PHG39_usda,USDA,UH_007,UH,3039,yes,Stiff_Stalk,CrossValidation,,
PHG47,PHG47_H,inrae,PHG47_usda,PHG47_usda,USDA,UH_007,UH,3082,yes,Lancaster,CrossValidation,,
PHG50,PHG50_H,inrae,PHG50_usda,PHG50_usda,USDA,UH_007,UH,3224,yes,Iodent,CrossValidation,,
PHG71,PHG71_H,inrae,PHG71_usda,PHG71_usda,USDA,UH_007,UH,3225,yes,Iodent,CrossValidation,,
PHG80,PHG80_H,inrae,PHG80_usda,PHG80_usda,USDA,UH_007,UH,3226,yes,Stiff_Stalk,CrossValidation,,
PHG83,PHG83_H,inrae,PHG83_usda,PHG83_usda,USDA,UH_007,UH,3051,yes,Iodent,CrossValidation,,
PHG84,PHG84_H,inrae,PHG84_usda,PHG84_usda,USDA,UH_007,UH,3227,yes,Lancaster,CrossValidation,,
PHG86,PHG86_H,inrae,PHG86_usda,PHG86_usda,USDA,UH_007,UH,3055,yes,Stiff_Stalk,CrossValidation,,
PHH93,PHH93_H,inrae,PHH93_usda,PHH93_usda,USDA,UH_007,UH,3077,yes,Iodent,CrossValidation,,
PHJ40,PHJ40_H,inrae,PHJ40_usda,PHJ40_usda,USDA,UH_007,UH,3228,yes,Lancaster,CrossValidation,,
PHK29,PHK29_H,inrae,PHK29_usda,PHK29_usda,USDA,UH_007,UH,3229,yes,Stiff_Stalk,CrossValidation,,
PHK76,PHK76_H,inrae,PHK76_usda,PHK76_usda,INRA,UH_007,UH,3091,yes,Lancaster,CrossValidation,,
PHR36,PHR36_H,inrae,PHR36_usda,PHR36_usda,USDA,UH_007,UH,3230,yes,Other,CrossValidation,,
PHT77,PHT77_H,inrae,PHT77_usda,PHT77_usda,USDA,UH_007,UH,3231,yes,Lancaster,CrossValidation,,
PHV63,PHV63_H,inrae,PHV63_usda,PHV63_usda,USDA,UH_007,UH,3232,yes,Stiff_Stalk,CrossValidation,,
PHW65,PHW65_H,inrae,PHW65_usda,PHW65_usda,USDA,UH_007,UH,3233,yes,Lancaster,CrossValidation,,
PHZ51,PHZ51_H,inrae,PHZ51_usda,PHZ51_usda,USDA,UH_007,UH,3234,yes,Lancaster,CrossValidation,,
PP147,PP147_H,inrae,PP147_inra,PP147_inra,INRA,UH_007,UH,3268,no,Other,CrossValidation,,
SC-Malawi,SC-Malawi_H,inrae,SC-Malawi_cim,SC.Malawi_cim,CIMMYT,UH_007,UH,3235,yes,Other,CrossValidation,,
SGI061,SGI061_H,inrae,SGI061_ifsi,SGI061_ifsi,IFSI,UH_007,UH,3256,yes,Iodent,CrossValidation,,
UH_1595,UH_1595_H,inrae,UH_1595_uh,UH_1595_uh,UH,UH_007,UH,1192,no,,nG_ext,,
UH_2500,UH_2500_H,inrae,UH_2500_uh,UH_2500_uh,UH,UH_007,UH,3236,yes,Other,CrossValidation,,
UH_2551,UH_2551_H,inrae,UH_2551_uh,UH_2551_uh,UH,UH_007,UH,1196,no,,nG_ext,,
UH_4068,UH_4068_H,inrae,UH_4068_uh,UH_4068_uh,UH,UH_007,UH,1197,no,,nG_ext,,
UH_6102,UH_6102_H,inrae,UH_6102_uh,UH_6102_uh,UH,UH_007,UH,3237,yes,Iodent,CrossValidation,,
UH_6103,UH_6103_H,inrae,UH_6103_uh,UH_6103_uh,UH,UH_007,UH,1199,no,,nG_ext,,
UH_6132,UH_6132_H,inrae,UH_6132_uh,UH_6132_uh,UH,UH_007,UH,1201,no,,nG_ext,,
UH_6148,UH_6148_H,inrae,UH_6148_uh,UH_6148_uh,UH,UH_007,UH,1203,no,,nG_ext,,
UH_6151,UH_6151_H,inrae,UH_6151_uh,UH_6151_uh,UH,UH_007,UH,1204,no,,nG_ext,,
UH_6161,UH_6161_H,inrae,UH_6161_uh,UH_6161_uh,UH,UH_007,UH,1205,no,,nG_ext,,
UH_6179,UH_6179_H,inrae,UH_6179_uh,UH_6179_uh,UH,UH_007,UH,3238,yes,Iodent,CrossValidation,,
UH_8513,UH_8513_H,inrae,UH_8513_uh,UH_8513_uh,UH,UH_007,UH,1209,no,,nG_ext,,
UH_P001,UH_P001_H,inrae,UH_P001_uh,UH_P001_uh,UH,UH_007,UH,1210,no,,nG_ext,,
UH_P017,UH_P017_H,inrae,UH_P017_uh,UH_P017_uh,UH,UH_007,UH,1212,no,,nG_ext,,
UH_P024,UH_P024_H,inrae,UH_P024_uh,UH_P024_uh,UH,UH_007,UH,3239,yes,Iodent,CrossValidation,,
UH_P033,UH_P033_H,inrae,UH_P033_uh,UH_P033_uh,UH,UH_007,UH,1214,no,,nG_ext,,
UH_P040,UH_P040_H,inrae,UH_P040_uh,UH_P040_uh,UH,UH_007,UH,1218,no,,nG_ext,,
UH_P042,UH_P042_H,inrae,UH_P042_uh,UH_P042_uh,UH,UH_007,UH,1219,no,,nG_ext,,
UH_P060,UH_P060_H,inrae,UH_P060_uh,UH_P060_uh,UH,UH_007,UH,3240,yes,Iodent,CrossValidation,,
UH_P064,UH_P064_H,inrae,UH_P064_uh,UH_P064_uh,UH,UH_007,UH,3241,yes,Iodent,CrossValidation,,
UH_P066,UH_P066_H,inrae,UH_P066_uh,UH_P066_uh,UH,UH_007,UH,1224,no,,nG_ext,,
UH_P072,UH_P072_H,inrae,UH_P072_uh,UH_P072_uh,UH,UH_007,UH,1225,no,,nG_ext,,
UH_P074,UH_P074_H,inrae,UH_P074_uh,UH_P074_uh,UH,UH_007,UH,3242,yes,Iodent,CrossValidation,,
UH_P087,UH_P087_H,inrae,UH_P087_uh,UH_P087_uh,UH,UH_007,UH,3243,yes,Iodent,CrossValidation,,
UH_P089,UH_P089_H,inrae,UH_P089_uh,UH_P089_uh,UH,UH_007,UH,3032,yes,Iodent,CrossValidation,,
UH_P104,UH_P104_H,inrae,UH_P104_uh,UH_P104_uh,UH,UH_007,UH,3244,yes,Other,CrossValidation,,
